"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1856","User login with wrong email or password","LMS system","2026-09-10","passed","2026-09-10","Authorization","Authentication","",""
"","1685","Check displaying of empty courses list","LMS system","2026-09-10","passed","2026-09-10","Courses","Courses","",""
"","2415","Registration with correct email, username and password","LMS system","2026-09-10","passed","2026-09-10","Registration","Authentication","",""
"","2442","Check displaying of dashboard page","LMS system","2026-09-10","passed","2026-09-10","Dashboard","Dashboard","",""
"","4215","Edit course","LMS system","2026-09-10","passed","2026-09-10","Courses","Courses","",""
"","1856","Navigation from login page to registration page","LMS system","2026-09-10","passed","2026-09-10","Authorization","Authentication","",""
"","2857","Create course","LMS system","2026-09-10","passed","2026-09-10","Courses","Courses","",""
"","2148","User login with wrong email or password","LMS system","2026-09-10","passed","2026-09-10","Authorization","Authentication","",""
"","3642","User login with correct email and password","LMS system","2026-09-10","passed","2026-09-10","Authorization","Authentication","",""
"","2199","User login with wrong email or password","LMS system","2026-09-10","passed","2026-09-10","Authorization","Authentication","",""
