"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1690","User login with wrong email or password","LMS system","2026-09-10","passed","2026-09-10","Authorization","Authentication","",""
"","1636","User login with wrong email or password","LMS system","2026-09-10","passed","2026-09-10","Authorization","Authentication","",""
"","1395","Check displaying of empty courses list","LMS system","2026-09-10","passed","2026-09-10","Courses","Courses","",""
"","2784","User login with correct email and password","LMS system","2026-09-10","passed","2026-09-10","Authorization","Authentication","",""
"","1572","Registration with correct email, username and password","LMS system","2026-09-10","passed","2026-09-10","Registration","Authentication","",""
"","1450","Navigation from login page to registration page","LMS system","2026-09-10","passed","2026-09-10","Authorization","Authentication","",""
"","1599","User login with wrong email or password","LMS system","2026-09-10","passed","2026-09-10","Authorization","Authentication","",""
"","1725","Check displaying of dashboard page","LMS system","2026-09-10","passed","2026-09-10","Dashboard","Dashboard","",""
"","3412","Edit course","LMS system","2026-09-10","passed","2026-09-10","Courses","Courses","",""
"","2249","Create course","LMS system","2026-09-10","passed","2026-09-10","Courses","Courses","",""
